Commodity_Name,City_Name,Type,Package,Variety,Sub_Variety,Grade,Date,Low_Price,High_Price,Mostly_Low,Mostly_High,Origin,Origin_District,Item_Size,Color,Environment,Unit_of_Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans_Mode
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/1/16,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/8/16,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/15/16,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/22/16,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/29/16,135,135,135,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/5/16,123.5,135,123.5,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/12/16,123.5,135,123.5,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/19/16,123.5,135,123.5,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/26/16,123.5,135,123.5,135,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,9/24/16,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/1/16,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/8/16,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/15/16,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/22/16,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/29/16,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,11/5/16,210,286,210,286,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,MINIATURE,FLAT TYPE,,9/30/17,16.5,18,16.5,16.75,TENNESSEE,,,,,,,,,,,N,
